date,bottleneck_score,bottleneck_level,cbp_intake,cbp_custody,cbp_transfers,hhs_care,hhs_discharges,total_active_load,report_to_report_load_change,transfer_efficiency,discharge_effectiveness
2024-05-29,77.49921766342142,Critical,182.0,462.0,158.0,7491,141.0,7953.0,187.0,34.1991341991342,1.8822587104525432
2024-04-30,76.0098081826611,Critical,220.0,443.0,194.0,7431,135.0,7874.0,209.0,43.792325056433405,1.8167137666532096
2023-11-21,75.61404728789987,Critical,136.0,246.0,123.0,9804,250.0,10050.0,227.0,50.0,2.5499796001631987
2023-09-19,74.47405733271519,Critical,133.0,287.0,189.0,11095,260.0,11382.0,153.0,65.85365853658537,2.3433979269941414
2025-11-09,72.93063282336578,Critical,11.0,33.0,5.0,2294,4.0,2327.0,30.0,15.151515151515152,0.17436791630340018
2025-11-16,72.82562586926286,Critical,5.0,22.0,3.0,2340,5.0,2362.0,19.0,13.636363636363635,0.2136752136752137
2025-12-10,72.78070429609025,Critical,10.0,54.0,5.0,2439,9.0,2493.0,20.0,9.25925925925926,0.36900369003690037
2025-12-14,72.4705030134446,Critical,8.0,35.0,4.0,2462,8.0,2497.0,13.0,11.428571428571429,0.3249390739236393
2023-09-12,72.45786972647194,Critical,224.0,315.0,152.0,10649,316.0,10964.0,229.0,48.25396825396825,2.967414780730585
2025-12-15,71.80762729871735,Critical,11.0,42.0,9.0,2470,7.0,2512.0,15.0,21.428571428571427,0.2834008097165992
2023-09-05,71.34280829856282,Critical,236.0,330.0,222.0,10142,243.0,10472.0,178.0,67.27272727272727,2.3959771248274504
2025-11-20,71.27762324215732,Critical,18.0,57.0,8.0,2340,9.0,2397.0,25.0,14.035087719298245,0.38461538461538464
2024-05-21,71.15714340905579,Critical,196.0,348.0,176.0,7404,145.0,7752.0,116.0,50.57471264367817,1.958400864397623
2023-05-01,71.09664271364548,Critical,224.0,315.0,152.0,8492,237.0,8807.0,212.0,48.25396825396825,2.7908619877531797
2023-07-25,71.04849520939577,Critical,134.0,294.0,186.0,7510,136.0,7804.0,304.0,63.26530612244898,1.8109187749667113
2025-04-27,70.76794544892597,Critical,9.0,40.0,12.0,2301,4.0,2341.0,38.0,30.0,0.1738374619730552
2025-11-17,70.56473110802042,Critical,1.0,35.0,6.0,2343,8.0,2378.0,16.0,17.142857142857142,0.34144259496372176
2023-10-30,70.50980335342297,Critical,29.0,51.0,11.0,9026,278.0,9077.0,77.0,21.568627450980394,3.079991136716153
2025-12-08,70.1998435326843,Critical,9.0,27.0,9.0,2440,4.0,2467.0,14.0,33.33333333333333,0.16393442622950818
2025-04-21,70.11633634677793,Critical,10.0,25.0,5.0,2308,6.0,2333.0,13.0,20.0,0.25996533795493937
