date,discharge_effectiveness,hhs_care,hhs_discharges
2023-01-12,6.640268047517514,6566,436.0
2023-05-25,5.406838059899284,7546,408.0
2024-01-11,5.391324045758297,8829,476.0
2023-07-02,5.234626461121464,5903,309.0
2023-08-31,4.980276134122287,10140,505.0
2023-08-27,4.942773219892636,9873,488.0
2023-02-23,4.877432398281526,7914,386.0
2025-02-02,4.823428079242033,3483,168.0
2023-10-22,4.775930990953083,9506,454.0
2023-04-13,4.746632456703015,7795,370.0
2024-03-24,4.722116723635903,7899,373.0
2023-10-29,4.6834733893557425,8925,418.0
2024-01-21,4.652621018309506,7974,371.0
2023-10-01,4.651821098320438,10598,493.0
2024-03-28,4.637979902087091,7762,360.0
2023-02-16,4.632362376491724,7793,361.0
2025-01-12,4.615082482325216,5092,235.0
2023-06-25,4.56122095039889,5766,263.0
2025-02-06,4.558314995284501,3181,145.0
2023-11-19,4.544030084612974,9573,435.0
