date,transfer_efficiency,cbp_custody,cbp_transfers
2025-02-13,229.99999999999997,10.0,23.0
2023-01-25,186.36363636363635,22.0,41.0
2025-02-02,186.36363636363635,22.0,41.0
2023-06-13,182.8125,64.0,117.0
2023-10-25,182.8125,64.0,117.0
2024-01-08,182.8125,64.0,117.0
2025-01-21,182.8125,64.0,117.0
2023-02-02,176.9230769230769,13.0,23.0
2025-02-09,176.9230769230769,13.0,23.0
2023-11-12,145.625,160.0,233.0
2023-12-11,145.625,160.0,233.0
2024-07-07,145.625,160.0,233.0
2023-05-23,142.42424242424244,66.0,94.0
2023-10-04,142.42424242424244,66.0,94.0
2025-01-01,142.42424242424244,66.0,94.0
2023-06-15,129.33333333333331,75.0,97.0
2023-10-29,129.33333333333331,75.0,97.0
2024-01-10,129.33333333333331,75.0,97.0
2025-01-23,129.33333333333331,75.0,97.0
2023-11-15,128.02547770700636,157.0,201.0
